,time,GPSx,GPSy,a,omega,yaw
86,8.844,-60.682256883825175,-34.62033703294583,3.384859657295347,0.0067908606,-2.4071909165405168
87,8.947,-60.682256883825175,-34.62033703294583,4.050919194445439,0.0920095,-2.3932827367972243
88,9.059,-60.682256883825175,-34.62033703294583,1.141009033588619,0.07709624,-2.3711935007181335
89,9.161,-62.049621444311924,-46.090747005073354,1.6524198432301498,0.032356452,-2.358103531328176
90,9.264,-62.049621444311924,-46.090747005073354,2.2871354707264895,-0.0017310036,-2.3452861823673805
91,9.368,-62.049621444311924,-46.090747005073354,1.337441213987355,0.04940018,-2.3381957822811534
92,9.472,-62.049621444311924,-46.090747005073354,1.6612280414259326,0.062182978,-2.2708370687284596
93,9.572,-62.049621444311924,-46.090747005073354,2.4948880346342777,-0.0145138,-2.2610195916859914
94,9.672,-62.049621444311924,-46.090747005073354,1.5266607798211915,0.061117746,-2.2520201504639332
95,9.779,-62.049621444311924,-46.090747005073354,2.944015187026563,-0.07629731,-2.2405664272477206
96,9.88,-62.049621444311924,-46.090747005073354,2.346983394582269,0.08135717,-2.2362031041177346
97,9.987,-62.049621444311924,-46.090747005073354,3.040981735427724,-0.17642923,-2.2307489502052524
98,10.087,-62.049621444311924,-46.090747005073354,0.9376979716150816,-0.107189074,-2.568633872349992
99,10.187,-62.91900981764775,-58.18193717021495,5.67213098342395,-0.13595037,-2.5225461845230543
100,10.288,-62.91900981764775,-58.18193717021495,2.4951517720009817,-0.0177095,-2.52090993834931
101,10.39,-62.91900981764775,-58.18193717021495,2.2834140503182376,0.024899822,-2.5258186768705437
102,10.494,-62.91900981764775,-58.18193717021495,1.8844282026672312,-0.018774733,-2.5274549230442886
103,10.597,-62.91900981764775,-58.18193717021495,1.8197983461518095,0.017443191,-2.5323636615655225
104,10.7,-62.91900981764775,-58.18193717021495,1.2030851885146465,0.16764104,-2.5359089488750985
105,10.802,-62.91900981764775,-58.18193717021495,2.6718455707052353,-0.0027962367,-2.5386358512984146
106,10.91,-62.91900981764775,-58.18193717021495,1.7049595307704064,0.051530648,-2.501002363835212
107,11.012,-62.91900981764775,-58.18193717021495,1.4860302212547165,0.21784015,-2.461459660703253
108,11.113,-64.00090151955374,-70.00565000274219,2.7931067042448503,-0.011318101,-2.457914373393677
109,11.211,-64.00090151955374,-70.00565000274219,2.8809737738413603,0.07709624,-2.4581871683557637
