timestamp,orientation.x,orientation.y,orientation.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644645503846,65.21875,-178.54688,-87.5,38.081253,-28.81875,-10.40625,-1.1091042,0.57845896,1.3616,-11.072584,2.1853075,-2.617461,0.026630826,-0.062182978,0.072036386,13.86756237,100.49083392,-19.8726806640625
1644645503954,65.15625,-178.59375,-87.375,38.4,-26.5125,-8.400001,-1.1811733,2.2570708,-1.8544031,-10.526707,0.20649989,-1.5921441,-0.32170036,-0.014247492,0.1657769,13.86756237,100.49083392,-19.8726806640625
1644645504058,65.1875,-178.59375,-87.609375,31.10625,-25.7625,-6.2812505,-3.1030684,1.063333,3.1307817,-12.960412,0.12988544,-0.43275195,-0.06284875,-0.18894571,0.08268871,13.86756237,100.49083392,-19.8726806640625
1644645504159,65.15625,-178.5,-87.578125,29.062502,-27.487501,-10.03125,-2.1537075,0.022071391,0.4078995,-11.6669445,2.429516,-3.2309752,0.19600287,-0.16657582,-0.03874785,13.86762021,100.49072166,-19.767425537109375
1644645504260,64.625,-178.17188,-87.1875,31.931252,-29.962502,-10.368751,-0.31167984,1.7220904,-1.3873124,-10.09994,2.0649989,-0.7966706,-0.08841434,-0.016377958,-0.0067908606,13.86762021,100.49072166,-19.767425537109375
1644645504360,64.78125,-178.1875,-86.984375,29.41875,-32.737503,-9.150001,-0.5430002,1.129525,0.33847287,-11.000758,1.1839328,-1.0175357,-0.020239428,0.028361829,0.030492295,13.86762021,100.49072166,-19.767425537109375
1644645504462,64.765625,-178.10938,-87.03125,28.7625,-33.09375,-16.050001,-0.051419258,-0.11276555,-0.59517115,-8.705916,0.8002619,-0.7679402,0.056457352,-0.03768262,-0.024899822,13.86762021,100.49072166,-19.767425537109375
1644645504565,64.640625,-178.0625,-87.109375,36.54375,-33.16875,-17.60625,-0.23049355,0.8583928,-1.5380832,-11.082161,1.0690111,-0.75357497,-0.061783515,0.09973244,-0.027030287,13.86762021,100.49072166,-19.767425537109375
1644645504667,64.703125,-178.125,-87.25,40.96875,-31.462502,-14.718751,2.1757803,-1.414658,4.1462555,-12.591106,-3.6218286,0.14185645,-0.024500359,0.25738692,-0.039813083,13.86762021,100.49072166,-19.767425537109375
1644645504774,64.59375,-178.0625,-87.265625,36.9,-28.087502,-10.125,1.3142862,-3.4409494,3.6007977,-9.257181,-2.0260932,2.0488381,0.18535055,0.050731722,-0.11011846,13.86762021,100.49072166,-19.767425537109375
1644645504878,64.671875,-178.09375,-87.28125,36.16875,-26.118752,-9.88125,10.695869,-0.09509832,1.2596712,-8.150461,-2.2319946,-12.913127,0.07030538,0.38308442,-0.13994499,13.86762021,100.49072166,-19.767425537109375
1644645504986,64.890625,-178.29688,-87.296875,38.8875,-23.98125,-7.7812505,0.33937836,0.23984845,-0.9704349,-11.556811,0.40761283,0.32441434,-0.07030538,0.27336544,-0.06644391,13.86762021,100.49072166,-19.767425537109375
1644645505086,64.6875,-178.23438,-87.28125,36.05625,-22.48125,-3.7875001,1.1315699,-2.4716578,2.1522167,-12.193669,-2.3421278,-2.6605566,0.020239428,0.10292814,-0.007856093,13.86762021,100.49072166,-19.767425537109375
1644645505188,64.984375,-178.40625,-87.453125,31.612501,-22.0125,-4.1062503,4.346322,-5.764993,2.1954253,-6.875549,-3.9522285,3.347094,0.14061075,0.30106148,-0.12290126,13.86767203,100.49061491,-18.893218994140625
1644645505288,64.90625,-178.40625,-87.328125,29.85,-23.643751,-11.15625,-0.70012283,-1.2599868,3.6968095,-7.704541,-2.9891608,0.78888947,-0.018108962,-0.2912081,0.11038477,13.86767203,100.49061491,-18.893218994140625
1644645505390,64.703125,-178.3125,-87.28125,35.8875,-21.375,-13.35,1.0934458,-2.3906229,-1.4176228,-5.9082913,0.7140707,-5.592855,0.2673735,-0.21664177,-0.09094427,13.86767203,100.49061491,-18.893218994140625
1644645505492,64.875,-178.35938,-87.140625,35.831253,-22.96875,-9.450001,0.45322418,1.4415735,-3.4694283,-6.9808936,1.3563153,-1.5921441,-0.16298065,-0.025965055,0.10399337,13.86767203,100.49061491,-18.893218994140625
1644645505594,64.65625,-178.28125,-87.171875,34.4625,-26.775002,-7.8375,-2.2087536,2.596777,-1.4228578,-10.19092,1.9405005,2.2786815,-0.17895915,-0.019573657,0.063514516,13.86767203,100.49061491,-18.893218994140625
1644645505696,64.796875,-178.26562,-87.5625,32.71875,-26.8875,-10.25625,1.5944471,-1.5789841,1.237867,-8.528745,-2.0644004,-0.025737667,-0.06391398,-0.030225987,0.0177095,13.86767203,100.49061491,-18.893218994140625
1644645505810,64.71875,-178.3125,-87.546875,36.3375,-26.156252,-14.418751,0.8635359,-2.1469436,1.0414004,-6.6504936,-0.21547815,0.2765303,0.15339355,-0.06005251,-0.050465416,13.86767203,100.49061491,-18.893218994140625
1644645505911,64.71875,-178.32812,-87.546875,40.66875,-24.50625,-11.025001,0.09376621,0.5408578,-2.3274622,-8.169615,2.8748376,-1.673547,0.14913262,-0.025965055,-0.057922047,13.86767203,100.49061491,-18.893218994140625
1644645506019,64.96875,-178.5,-87.5625,34.0875,-25.66875,-4.3500004,-0.053819656,1.5529068,-2.2707498,-9.903615,2.6402059,0.60693014,-0.014913263,0.17642923,-0.062182978,13.86767203,100.49061491,-18.893218994140625
1644645506118,64.734375,-178.45312,-87.546875,25.66875,-27.806252,-6.3375,-0.57179165,0.5087711,3.4957066,-13.396157,-1.6478093,-1.2330139,-0.10226237,0.016644266,0.04860126,13.86767203,100.49061491,-18.893218994140625
1644645506223,64.984375,-178.53125,-87.734375,29.081251,-26.85,-10.462501,-6.788352,-2.1014683,-0.36164445,-10.723031,-0.18195933,5.076905,-0.13954553,-0.24327259,0.07310162,13.86773403,100.49051173,-18.813873291015625
1644645506324,64.765625,-178.48438,-87.6875,28.5375,-27.73125,-7.65,-3.3282213,-2.6899045,-0.08392942,-11.652579,1.3850456,0.6931214,0.3067871,-0.11224893,-0.10905323,13.86773403,100.49051173,-18.813873291015625
1644645506427,64.8125,-178.51562,-87.6875,30.337502,-27.300001,-8.512501,-5.583247,-1.0749061,-3.3494563,-8.193557,5.370793,0.39145198,0.32383084,-0.29546902,-0.03768262,13.86773403,100.49051173,-18.813873291015625
1644645506531,64.796875,-178.5,-88.0,32.79375,-31.35,-6.9375005,2.4546266,2.3692737,-4.801153,-8.916606,1.22224,-5.8705826,-0.18428531,0.22969086,0.023035664,13.86773403,100.49051173,-18.813873291015625
1644645506636,64.703125,-178.5,-87.96875,33.73125,-30.7875,-9.69375,-2.754633,0.90129036,1.1026839,-12.759299,-1.2162545,3.0262709,-0.27269965,0.1402113,0.12849373,13.86773403,100.49051173,-18.813873291015625
1644645506740,64.859375,-178.4375,-88.0625,34.725002,-29.04375,-10.44375,-2.6514835,-1.7416826,3.1120574,-12.346898,-0.866701,0.92775315,0.14380646,-0.14207545,-0.030225987,13.86773403,100.49051173,-18.813873291015625
1644645506844,64.640625,-178.34375,-87.8125,39.487503,-28.9125,-10.8,-1.93114,0.96861196,0.37264505,-11.134833,2.1470003,-1.9416976,0.022369893,-0.1335536,0.008122402,13.86773403,100.49051173,-18.813873291015625
1644645506945,64.6875,-178.35938,-87.734375,41.381252,-30.6,-8.71875,-1.6141968,2.8723729,-0.6909462,-12.716204,2.5683799,-2.5791538,-0.039413624,0.040079392,0.02516613,13.86773403,100.49051173,-18.813873291015625
