timestamp,orientation.x,orientation.y,orientation.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644573794975,319.625,1.734375,-1.671875,22.706251,7.33125,-1.9687501,-0.047594845,-0.11563903,-0.0053663254,-0.30765492,-0.25378537,9.834184,0.066843376,0.010785485,-1.9188842,0.0,0.0,0.0
1644573795084,333.09375,1.46875,-1.671875,19.125,10.78125,1.125,-0.057377532,-0.034462333,-0.011027336,-0.2837129,-0.20111294,9.800665,0.072169535,0.0118507175,-1.8826662,0.0,0.0,0.0
1644573795187,342.625,1.546875,-1.6875,15.4125,15.918751,0.31875002,-0.055893317,-0.084264085,-0.010073662,-0.30286652,-0.23463176,9.8198185,0.065778136,0.0075897854,-1.8400569,0.0,0.0,0.0
1644573795294,355.89062,1.265625,-1.65625,9.65625,19.35,1.03125,-0.03224446,-0.038133547,-0.0014257431,-0.2693477,-0.15263036,9.829395,0.066843376,0.010785485,-1.7985128,0.0,0.0,0.0
1644573795396,8.5,1.21875,-1.578125,5.2312503,20.34375,4.1625004,-0.05542177,-0.06867062,-0.010749817,-0.29807812,-0.20111294,9.8198185,0.06151721,0.009720251,-1.7569687,0.0,0.0,0.0
1644573795498,17.359375,1.125,-1.578125,-0.26250002,22.331251,2.3812501,-0.028142706,-0.039803967,-0.01907444,-0.25498247,-0.16280572,9.824607,0.060451973,0.010785485,-1.7207508,0.0,0.0,0.0
1644573795606,29.4375,1.046875,-1.53125,-5.68125,21.54375,4.33125,-0.053600654,-0.064409174,-0.009373665,-0.2885013,-0.15263036,9.8198185,0.05832151,0.008655018,-1.6824024,0.0,0.0,0.0
1644573795713,41.546875,1.0,-1.515625,-11.475,21.2625,4.55625,-0.016497865,-0.0380707,-0.014600754,-0.2789245,-0.13826515,9.834184,0.054060575,0.008655018,-1.6461844,0.0,0.0,0.0
1644573795818,49.828125,0.90625,-1.46875,-16.050001,20.493752,4.5375004,-0.0475917,-0.07390024,-0.0056762695,-0.25977087,-0.12868834,9.838972,0.050864875,0.008655018,-1.6163579,0.0,0.0,0.0
1644573795924,61.078125,0.828125,-1.53125,-20.75625,17.625,5.6062503,-0.028531909,-0.05049169,-0.0013303757,-0.24480712,-0.12389994,9.829395,0.050864875,0.006524552,-1.5865314,0.0,0.0,0.0
1644573796030,69.046875,0.796875,-1.5,-23.587502,14.587501,5.55,-0.047559977,-0.040590852,-0.00401783,-0.2741361,-0.12868834,9.810242,0.043408245,0.006524552,-1.5577701,0.0,0.0,0.0
