timestamp,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z,GPS.lat,GPS.long,GPS.alt
1644571430253,-3.9562502,26.268751,-17.25,-9.184756,-1.3413515,2.4079683,1.6307386,0.14074391,-0.31770575,0.0,0.0,0.0
1644571430357,-4.5,23.831251,-21.50625,-9.419987,-1.2838906,2.345719,1.5283431,0.043807708,-0.3027925,0.0,0.0,0.0
1644571430458,-4.8562503,20.19375,-27.018751,-9.592369,-1.1109096,2.5139117,1.4282112,0.05126434,-0.300662,0.0,0.0,0.0
1644571430567,-5.45625,16.10625,-30.187502,-9.64983,-1.0342951,2.4372973,1.3248836,0.09706936,-0.300662,0.0,0.0,0.0
1644571430668,-6.01875,13.012501,-33.131252,-9.5253315,-1.0199299,2.3744495,1.2290126,0.13754821,-0.29107493,0.0,0.0,0.0
1644571430775,-5.55,8.38125,-33.61875,-9.41041,-0.8858546,2.0967221,1.2322083,0.16737475,-0.24526991,0.0,0.0,0.0
1644571430881,-4.6312504,2.41875,-33.318752,-9.803059,-0.7565677,2.1829133,1.1714901,0.16737475,-0.23994374,0.0,0.0,0.0
1644571430986,-4.8562503,-1.0875001,-32.90625,-9.53012,-0.56982,1.8477252,1.1597724,0.14180915,-0.1898778,0.0,0.0,0.0
1644571431091,-3.5625002,-6.0,-32.8875,-9.683349,-0.6895301,2.0488381,1.1480548,0.10346076,-0.21650861,0.0,0.0,0.0
1644571431197,-3.1875002,-10.35,-32.662502,-9.764751,-0.9864111,1.775899,1.0820104,0.08109087,-0.18881255,0.0,0.0,0.0
1644571431302,-2.4375,-14.250001,-31.500002,-9.482236,-0.7565677,1.5699978,0.99785703,0.122634955,-0.15898603,0.0,0.0,0.0
1644571431404,-1.81875,-17.56875,-29.868752,-9.563639,-0.50278234,1.6370354,1.0191617,0.099199824,-0.17496452,0.0,0.0,0.0
1644571431516,-0.65625,-21.675001,-27.656252,-9.716867,-0.49320555,1.6274586,1.0287488,0.06830807,-0.16963837,0.0,0.0,0.0
1644571431615,-0.95625,-24.16875,-25.63125,-9.635465,-0.6655881,1.4790181,0.9850742,0.0949389,-0.13448566,0.0,0.0,0.0
1644571431720,-0.45000002,-26.268751,-24.150002,-9.846154,-0.8762778,1.6609775,0.95950866,0.13861345,-0.11424624,0.0,0.0,0.0
1644571431826,0.58125,-30.375002,-19.893751,-9.314642,-0.25857377,1.0570401,1.0170312,0.09813459,-0.15579033,0.0,0.0,0.0
1644571431931,1.06875,-32.04375,-16.650002,-9.606734,-0.521936,1.3928268,0.9350083,0.0011983871,-0.10039821,0.0,0.0,0.0
1644571432034,1.9875001,-33.73125,-13.368751,-10.00896,-0.7326257,1.4119805,0.86257243,0.045938175,-0.16857313,0.0,0.0,0.0
1644571432138,1.8937501,-36.3375,-10.743751,-9.635465,-0.4261679,1.0570401,0.81037605,0.108786926,-0.07696309,0.0,0.0,0.0
1644571432243,2.30625,-36.037502,-6.7125,-9.520543,-0.4261679,1.0187328,0.7198312,0.11943925,-0.09187635,0.0,0.0,0.0
1644571432343,3.0937502,-37.725002,-4.40625,-9.712079,-0.2873042,0.985214,0.85831153,0.009720251,-0.12702903,0.0,0.0,0.0
